Family Id,No,Config,Status,Price,Liftoff Thrust (kN),Payload to LEO,Payload to GTO,Stages,Strap-ons,Rocket Height (m),Fairing Diameter,Fairing Height
3,1,Falcon 9 Block 1 (v1.0),Retired,$59.5 million,4940,"10,450 kg","4,540 kg",2,0,54.90,5.2 m,13.0 m
3,2,Falcon 9 Block 2 (v1.1),Retired,$56.5 million,5885,"13,150 kg","4,850 kg",2,0,68.40,5.2 m,13.0 m
3,3,Falcon 9 Block 3 (v1.2/FT),Retired,$62.0 million,6804,"22,800 kg","8,300 kg",2,0,70.00,5.2 m,13.0 m
3,4,Falcon 9 Block 4,Retired,$62.0 million,6804,"22,800 kg","8,300 kg",2,0,70.00,5.2 m,13.0 m
3,5,Falcon 9 Block 5,Active,$50.0 million,7607,"22,800 kg","8,300 kg",2,0,70.00,5.2 m,13.0 m
4,1,Electron,Active,$7.5 million,225,300 kg,,2,0,17.00,1.2 m,
4,2,Electron/Curie,Active,$7.5 million,225,300 kg,,3,0,17.00,1.2 m,2.5 m
4,3,Electron/Photon,Active,,162,300 kg,,3,0,17.00,1.2 m,
5,1,SLS Block 1,Planned,$876.0 million,39440,"95,000 kg",,2,2,98.10,5.1 m,14.3 m
5,2,SLS Block 1B,Planned,$876.0 million,39440,"105,000 kg",,2,2,111.00,,
9,1,Ariane 1,Retired,,2772,"4,850 kg","1,850 kg",4,0,47.39,,
7,1,Delta II 6920-10,Retired,,3481,"3,950 kg",,2,9,38.90,3.0 m,8.9 m
7,2,Delta II 6920-8,Retired,,3481,"3,983 kg",,2,9,38.10,2.4 m,8.49 m
7,3,Delta II 6925,Retired,,3481,,"1,447 kg",3,9,38.10,2.9 m,8.49 m
7,4,Delta II 6925-8,Retired,,3481,,"1,460 kg",3,9,38.10,2.4 m,8.49 m
7,5,Delta II 7320-10C,Retired,,2533,"2,703 kg",,2,3,38.90,3.0 m,8.9 m
7,6,Delta II 7326,Retired,,2533,,934 kg,3,3,38.10,2.9 m,8.49 m
7,7,Delta II 7420-10C,Retired,,3020,"3,099 kg",,2,4,38.90,3.0 m,8.9 m
7,8,Delta II 7425,Retired,,3020,,"1,110 kg",3,4,38.10,2.9 m,8.49 m
7,9,Delta II 7425-10C,Retired,,3020,,"1,073 kg",3,4,38.90,3.0 m,8.9 m
7,10,Delta II 7426,Retired,,3020,,"1,058 kg",3,4,38.10,2.9 m,8.49 m
7,11,Delta II 7920-10,Retired,,3511,"4,800 kg",,2,9,38.90,3.0 m,8.9 m
7,12,Delta II 7920-10C,Retired,,3511,"4,844 kg",,2,9,38.90,3.0 m,8.9 m
7,13,Delta II 7920-10L,Retired,,3511,"4,805 kg",,2,9,39.30,3.0 m,9.3 m
7,14,Delta II 7920-8,Retired,,3511,"5,000 kg",,2,9,38.10,2.4 m,8.49 m
7,15,Delta II 7920H,Retired,,4398,"6,097 kg",,2,9,38.10,2.9 m,8.49 m
7,16,Delta II 7920H-10C,Retired,,4398,"5,959 kg",,2,9,38.90,3.0 m,8.9 m
7,17,Delta II 7925,Retired,,3511,,"1,819 kg",3,9,38.10,2.9 m,8.49 m
7,18,Delta II 7925-10,Retired,,3511,,"1,730 kg",3,9,38.90,3.0 m,8.9 m
7,19,Delta II 7925-10C,Retired,,3511,,"1,747 kg",3,9,38.90,3.0 m,8.9 m
7,20,Delta II 7925-10L,Retired,,3511,,"1,739 kg",3,9,39.30,3.0 m,9.3 m
7,21,Delta II 7925-8,Retired,,3511,,"1,780 kg",3,9,38.10,2.4 m,8.49 m
7,22,Delta II 7925H,Retired,,4398,,"2,171 kg",3,9,38.10,2.9 m,8.49 m
25,1,Atlas V 401,Active,$109.0 million,3826,"9,797 kg","4,750 kg",2,0,58.30,4.2 m,13.8 m
25,2,Atlas V 411,Retired,$115.0 million,5489,"12,030 kg","5,950 kg",2,1,58.30,4.2 m,13.8 m
25,3,Atlas V 421,Active,$123.0 million,7152,"13,600 kg","6,890 kg",2,2,58.30,4.2 m,13.8 m
25,4,Atlas V 431,Retired,$130.0 million,8815,"15,260 kg","7,700 kg",2,3,59.10,4.2 m,13.8 m
25,5,Atlas V 501,Retired,$120.0 million,3826,"8,210 kg","3,780 kg",2,0,62.20,5.4 m,26.5 m
25,6,Atlas V 511,Retired,$130.0 million,5489,"11,000 kg","5,250 kg",2,1,62.20,5.4 m,26.5 m
25,7,Atlas V 521,Retired,$135.0 million,7152,"13,500 kg","6,480 kg",2,2,62.20,5.4 m,26.5 m
25,8,Atlas V 531,Active,$140.0 million,8815,"15,530 kg","7,450 kg",2,3,62.20,5.4 m,26.5 m
25,9,Atlas V 541,Active,$145.0 million,10478,"17,410 kg","8,290 kg",2,4,62.20,5.4 m,26.5 m
25,10,Atlas V 551,Active,$153.0 million,12141,"18,850 kg","8,900 kg",2,5,62.20,5.4 m,26.5 m
25,11,Atlas V N22,Active,,7152,"13,000 kg",,2,2,,,
10,1,Long March 1,Retired,,1020,300 kg,0 kg,3,0,30.45,1.5 m,4.67 m
26,1,Antares 110,Retired,$80.0 million,3265,,,2,0,40.50,3.94 m,4.87 m
26,2,Antares 120,Retired,$80.0 million,3265,"4,600 kg","1,500 kg",2,0,40.50,3.94 m,9.87 m
26,3,Antares 130,Retired,$80.0 million,3265,"5,100 kg",,2,0,40.50,3.94 m,9.87 m
26,4,Antares 230,Retired,$85.0 million,3844,"7,000 kg",,2,0,41.90,3.9 m,9.9 m
26,5,Antares 230+,Active,$85.0 million,3844,"8,000 kg",,2,0,42.50,3.9 m,9.9 m
28,1,Minotaur C (Taurus),Active,$45.0 million,1607,"1,458 kg",,4,0,27.90,2.34 m,
29,1,Saturn I Block I,Retired,,6700,0 kg,,1,,55.00,,
29,2,Saturn I Block II,Retired,,6700,"9,070 kg",,2,0,55.00,,
31,1,Vega,Active,$37.0 million,2200,"1,436 kg",,4,0,29.90,2.6 m,7.88 m
31,2,Vega C,Planned,,4500,"2,200 kg",,4,0,35.00,,
31,3,Vega E,Planned,,,,,4,0,35.00,,
32,1,SLV-3,Retired,,503,40 kg,,4,0,22.00,1.0 m,
33,1,ASLV,Retired,,1005,150 kg,,5,2,24.00,1.0 m,
34,1,PSLV-CA,Active,$21.0 million,4847,,,4,0,44.00,3.2 m,8.3 m
34,2,PSLV-DL,Active,,5867,,,4,2,44.00,3.2 m,8.3 m
34,3,PSLV-G,Retired,$25.0 million,6887,"3,250 kg","1,410 kg",4,6,44.50,3.2 m,8.3 m
34,4,PSLV-QL,Active,$21.0 million,7661,,,4,4,44.00,3.2 m,8.3 m
34,5,PSLV-XL,Active,$31.0 million,7661,"3,250 kg","1,410 kg",4,6,44.00,3.2 m,8.3 m
35,1,GSLV Mk I,Retired,$47.0 million,,,"1,500 kg",3,4,49.13,3.4 m,7.8 m
35,2,GSLV Mk II,Active,$47.0 million,7887,"5,000 kg","2,500 kg",3,4,51.70,4.0 m,7.8 m
37,1,Rokot/Briz K,Retired,,1875,"1,500 kg",0 kg,3,0,25.50,2.5 m,3.0 m
